familyId,domain,format,construct,contextFamily,variants,recommendedMinSetGap
EQ-S29,EQ,SITUATIONAL,encouraging_peer_after_failure,peer_setback,10,10
EQ-S30,EQ,SITUATIONAL,handling_competing_emotions,team_success_personal_loss,10,10
EQ-S31,EQ,SITUATIONAL,apologising_sincerely,social_mistake,10,10
EQ-S32,EQ,SITUATIONAL,setting_personal_boundaries,peer_pressure,10,10
EQ-S33,EQ,SITUATIONAL,emotionally_safe_leadership,team_leadership,10,10
EQ-S34,EQ,SITUATIONAL,self_reflection_after_success,project_success,10,10
SQ-S01,SQ,SITUATIONAL,integrity_with_unseen_choice,unsupervised_property,10,10
SQ-S02,SQ,SITUATIONAL,honesty_about_mistake,group_deadline,10,10
SQ-S03,SQ,SITUATIONAL,fairness_in_resource_use,shared_equipment,10,10
SQ-S04,SQ,SITUATIONAL,responsible_online_sharing,unverified_information,10,10
SQ-S05,SQ,SITUATIONAL,privacy_and_consent,photo_or_data_sharing,10,10
SQ-S06,SQ,SITUATIONAL,respect_for_rules_with_reason,school_rule,10,10
SQ-S07,SQ,SITUATIONAL,responsibility_for_shared_space,classroom_or_canteen,10,10
SQ-S08,SQ,SITUATIONAL,ethical_friendship_loyalty,friend_wrongdoing,10,10
SQ-S09,SQ,SITUATIONAL,returning_lost_property,lost_item,10,10
SQ-S10,SQ,SITUATIONAL,academic_integrity,answers_or_assignment,10,10
SQ-S11,SQ,SITUATIONAL,environmental_responsibility,water_energy_waste,10,10
SQ-S12,SQ,SITUATIONAL,digital_citizenship,group_chat,10,10
SQ-S13,SQ,SITUATIONAL,fair_turn_taking,queue_or_shared_access,10,10
SQ-S14,SQ,SITUATIONAL,respecting_confidentiality,private_information,10,10
SQ-S15,SQ,SITUATIONAL,speaking_up_about_safety,unsafe_behaviour,10,10
SQ-S16,SQ,SITUATIONAL,community_mindedness,neighbourhood_activity,10,10
SQ-S17,SQ,SITUATIONAL,responsible_use_of_ai_or_tools,digital_assistance,10,10
SQ-S18,SQ,SITUATIONAL,respect_for_differences,cultural_or_ability_difference,10,10
SQ-S19,SQ,SITUATIONAL,accountability_when_no_one_sees,minor_damage,10,10
SQ-S20,SQ,SITUATIONAL,ethical_competition,contest_or_sport,10,10
SQ-S21,SQ,SITUATIONAL,truthfulness_under_social_pressure,peer_group,10,10
SQ-S22,SQ,SITUATIONAL,care_for_public_property,library_or_facility,10,10
SQ-S23,SQ,SITUATIONAL,respectful_disagreement_with_authority,teacher_or_organiser,10,10
SQ-S24,SQ,SITUATIONAL,responsible_spending,limited_budget,10,10
SQ-S25,SQ,SITUATIONAL,consent_before_borrowing,personal_property,10,10
SQ-S26,SQ,SITUATIONAL,fair_credit_for_work,group_project,10,10
SQ-S27,SQ,SITUATIONAL,responsible_reporting,incident_or_bullying,10,10
SQ-S28,SQ,SITUATIONAL,helping_without_showing_off,community_service,10,10
SQ-S29,SQ,SITUATIONAL,ethical_use_of_found_information,accidental_access,10,10
SQ-S30,SQ,SITUATIONAL,responsibility_to_younger_child,home_or_school,10,10
SQ-S31,SQ,SITUATIONAL,sustainable_choice,event_planning,10,10
SQ-S32,SQ,SITUATIONAL,respect_for_time_commitments,appointment_or_group,10,10
SQ-S33,SQ,SITUATIONAL,responsible_response_to_cyberbullying,online_group,10,10
SSQ-S01,SSQ,SITUATIONAL,evidence_based_decision,group_choice,10,10
SSQ-S02,SSQ,SITUATIONAL,planning_under_constraints,event_planning,10,10
SSQ-S03,SSQ,SITUATIONAL,prioritisation,multiple_deadlines,10,10
SSQ-S04,SSQ,SITUATIONAL,fair_workload_distribution,team_tasks,10,10
SSQ-S05,SSQ,SITUATIONAL,conflict_resolution,two_sides_disagree,10,10
SSQ-S06,SSQ,SITUATIONAL,leadership_and_delegation,club_or_project,10,10
SSQ-S07,SSQ,SITUATIONAL,risk_assessment,activity_safety,10,10
SSQ-S08,SSQ,SITUATIONAL,information_evaluation,conflicting_sources,10,10
SSQ-S09,SSQ,SITUATIONAL,collaborative_problem_solving,limited_resources,10,10
SSQ-S10,SSQ,SITUATIONAL,decision_under_time_pressure,short_deadline,10,10
SSQ-S11,SSQ,SITUATIONAL,inclusive_team_process,quiet_member,10,10
SSQ-S12,SSQ,SITUATIONAL,goal_setting,long_term_project,10,10
SSQ-S13,SSQ,SITUATIONAL,tradeoff_analysis,cost_time_quality,10,10
SSQ-S14,SSQ,SITUATIONAL,contingency_planning,weather_or_failure,10,10
SSQ-S15,SSQ,SITUATIONAL,resource_allocation,budget_or_materials,10,10
SSQ-S16,SSQ,SITUATIONAL,negotiation,shared_schedule,10,10
SSQ-S17,SSQ,SITUATIONAL,root_cause_analysis,repeated_problem,10,10
SSQ-S18,SSQ,SITUATIONAL,evaluating_alternatives,multiple_solutions,10,10
SSQ-S19,SSQ,SITUATIONAL,sequence_and_dependencies,multi_step_task,10,10
SSQ-S20,SSQ,SITUATIONAL,communication_planning,audience_and_message,10,10
SSQ-S21,SSQ,SITUATIONAL,team_quality_control,checking_work,10,10
SSQ-S22,SSQ,SITUATIONAL,data_informed_choice,simple_data,10,10
SSQ-S23,SSQ,SITUATIONAL,role_assignment_by_strength,team_capabilities,10,10
SSQ-S24,SSQ,SITUATIONAL,managing_change,last_minute_change,10,10
SSQ-S25,SSQ,SITUATIONAL,balancing_speed_and_accuracy,competition_or_task,10,10
SSQ-S26,SSQ,SITUATIONAL,ethical_leadership,team_pressure,10,10
SSQ-S27,SSQ,SITUATIONAL,planning_for_accessibility,inclusive_event,10,10
SSQ-S28,SSQ,SITUATIONAL,resolving_schedule_conflict,clashing_commitments,10,10
SSQ-S29,SSQ,SITUATIONAL,making_decision_with_incomplete_info,uncertain_situation,10,10
SSQ-S30,SSQ,SITUATIONAL,evaluating_feedback_sources,mixed_feedback,10,10
SSQ-S31,SSQ,SITUATIONAL,monitoring_progress,long_project,10,10
SSQ-S32,SSQ,SITUATIONAL,choosing_communication_channel,urgent_information,10,10
SSQ-S33,SSQ,SITUATIONAL,systems_thinking,one_change_multiple_effects,10,10
EQ-D01,EQ,AGREE_DISAGREE,pause_before_reacting,emotion_regulation,10,10
EQ-D02,EQ,AGREE_DISAGREE,accept_feedback,learning_mindset,10,10
EQ-D03,EQ,AGREE_DISAGREE,ask_for_help,self_awareness,10,10
EQ-D04,EQ,AGREE_DISAGREE,recover_from_failure,resilience,10,10
EQ-D05,EQ,AGREE_DISAGREE,name_emotions,emotional_literacy,10,10
EQ-D06,EQ,AGREE_DISAGREE,respect_personal_boundaries,self_respect,10,10
EQ-D07,EQ,AGREE_DISAGREE,avoid_comparison,self_confidence,10,10
EQ-D08,EQ,AGREE_DISAGREE,show_empathy,empathy,10,10
EQ-D09,EQ,AGREE_DISAGREE,apologise_after_harm,relationship_repair,10,10
EQ-D10,EQ,AGREE_DISAGREE,manage_jealousy,self_regulation,10,10
EQ-D11,EQ,AGREE_DISAGREE,delay_impulsive_reply,impulse_control,10,10
EQ-D12,EQ,AGREE_DISAGREE,handle_uncertainty,tolerance_uncertainty,10,10
EQ-D13,EQ,AGREE_DISAGREE,recognise_stress,self_monitoring,10,10
EQ-D14,EQ,AGREE_DISAGREE,celebrate_others,prosocial_emotion,10,10
EQ-D15,EQ,AGREE_DISAGREE,separate_person_from_problem,conflict_maturity,10,10
EQ-D16,EQ,AGREE_DISAGREE,balance_effort_and_rest,wellbeing_judgement,10,10
SQ-D01,SQ,AGREE_DISAGREE,tell_truth_when_costly,integrity,10,10
SQ-D02,SQ,AGREE_DISAGREE,return_found_property,property_respect,10,10
SQ-D03,SQ,AGREE_DISAGREE,verify_before_sharing,digital_responsibility,10,10
SQ-D04,SQ,AGREE_DISAGREE,protect_privacy,privacy,10,10
SQ-D05,SQ,AGREE_DISAGREE,credit_group_contribution,fairness,10,10
SQ-D06,SQ,AGREE_DISAGREE,follow_safety_rule,safety_responsibility,10,10
SQ-D07,SQ,AGREE_DISAGREE,care_for_shared_property,civic_responsibility,10,10
SQ-D08,SQ,AGREE_DISAGREE,reject_cheating,academic_integrity,10,10
SQ-D09,SQ,AGREE_DISAGREE,respect_difference,social_respect,10,10
SQ-D10,SQ,AGREE_DISAGREE,keep_commitment,reliability,10,10
SQ-D11,SQ,AGREE_DISAGREE,report_serious_harm,responsible_reporting,10,10
SQ-D12,SQ,AGREE_DISAGREE,seek_consent,consent,10,10
SQ-D13,SQ,AGREE_DISAGREE,avoid_waste,environmental_responsibility,10,10
SQ-D14,SQ,AGREE_DISAGREE,fair_queueing,fairness,10,10
SQ-D15,SQ,AGREE_DISAGREE,ethical_peer_loyalty,moral_courage,10,10
SQ-D16,SQ,AGREE_DISAGREE,responsible_tool_use,technology_ethics,10,10
SQ-D17,SQ,AGREE_DISAGREE,help_without_humiliating,dignity,10,10
SSQ-D01,SSQ,AGREE_DISAGREE,use_evidence,critical_decision,10,10
SSQ-D02,SSQ,AGREE_DISAGREE,plan_before_action,planning,10,10
SSQ-D03,SSQ,AGREE_DISAGREE,compare_tradeoffs,tradeoff_reasoning,10,10
SSQ-D04,SSQ,AGREE_DISAGREE,invite_quiet_members,inclusive_collaboration,10,10
SSQ-D05,SSQ,AGREE_DISAGREE,adapt_when_plan_changes,adaptability,10,10
SSQ-D06,SSQ,AGREE_DISAGREE,prioritise_dependencies,systems_planning,10,10
SSQ-D07,SSQ,AGREE_DISAGREE,define_problem_before_solution,problem_framing,10,10
SSQ-D08,SSQ,AGREE_DISAGREE,review_progress,monitoring,10,10
SSQ-D09,SSQ,AGREE_DISAGREE,assign_roles_by_strength,team_design,10,10
SSQ-D10,SSQ,AGREE_DISAGREE,consider_risk,risk_management,10,10
SSQ-D11,SSQ,AGREE_DISAGREE,prepare_backup_plan,contingency,10,10
SSQ-D12,SSQ,AGREE_DISAGREE,resolve_disagreement_with_criteria,conflict_process,10,10
SSQ-D13,SSQ,AGREE_DISAGREE,check_information_quality,information_literacy,10,10
SSQ-D14,SSQ,AGREE_DISAGREE,balance_speed_and_accuracy,quality_judgement,10,10
SSQ-D15,SSQ,AGREE_DISAGREE,choose_channel_for_audience,communication_strategy,10,10
SSQ-D16,SSQ,AGREE_DISAGREE,use_feedback_selectively,feedback_evaluation,10,10
SSQ-D17,SSQ,AGREE_DISAGREE,consider_second_order_effects,systems_thinking,10,10
